City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,kaifeng,34.7911,114.3483,-1.94,83,13,0.27,CN,1702347023
308,byakabanda,-0.7425,31.4064,16.34,95,100,1.3,UG,1702347241
309,olinda,-8.0089,-34.8553,26.85,78,75,3.6,BR,1702347241
310,eseka,3.65,10.7667,22.87,99,99,0.06,CM,1702347241
311,kidal,18.4411,1.4078,17.92,35,0,8.37,ML,1702347241
312,blackwater,-23.5833,148.8833,32.47,42,68,8.09,AU,1702347241
313,santa elena de uairen,4.6167,-61.1333,23.41,65,96,1.4,VE,1702347241
314,gaigeturi,33.4644,126.3183,11.03,82,100,4.63,KR,1702347242
315,vega baja,18.4444,-66.3877,26.66,92,15,5.35,PR,1702346584
316,les anglais,18.3054,-74.2197,25.74,84,74,1.62,HT,1702347242
317,dali,25.7,100.1833,10.94,66,0,0.58,CN,1702347242
318,rio preto da eva,-2.6994,-59.6997,23.89,98,100,0.99,BR,1702347242
319,san luis de la loma,17.2706,-100.8939,25.94,76,74,2.13,MX,1702347242
320,constitucion,-35.3333,-72.4167,12.79,84,100,5.5,CL,1702347242
321,sinop,41.7711,34.8709,7.24,84,97,0.8,TR,1702347242
322,yegorlykskaya,46.5656,40.6562,2.17,85,100,9.85,RU,1702347243
323,labrador city,52.9463,-66.9114,-7.05,93,100,3.09,CA,1702347243
324,belek,36.8628,31.0556,14.4,71,57,2.64,TR,1702347243
325,phalaborwa,-23.943,31.1411,20.19,96,100,1.42,ZA,1702347243
326,bereket,39.2446,55.5154,-1.59,39,33,10.08,TM,1702347025
327,al mijlad,11.0333,27.7333,24.13,14,99,5.87,SD,1702347243
328,gazojak,41.1875,61.4036,-10.51,38,4,8.33,TM,1702347243
329,dzuunharaa,48.8523,106.4579,-25.3,99,97,0.31,MN,1702347243
330,wagar,16.1525,36.2032,24.43,60,3,3.89,SD,1702347243
331,mount gambier,-37.8333,140.7667,31.67,38,58,1.91,AU,1702347244
332,nevada,39.2502,-116.7512,0.97,41,100,2.09,US,1702347244
333,gonzalez,30.5816,-87.2914,11.38,65,0,2.06,US,1702347061
334,san fernando de apure,7.8878,-67.4724,28.61,55,59,2.38,VE,1702347244
335,fortuna,40.5982,-124.1573,12.59,95,100,3.6,US,1702347051
336,zyrya,40.3661,50.2917,7.05,82,100,9.51,AZ,1702347244
337,lucas,41.6501,-83.6666,-0.03,73,100,4.12,US,1702347244
338,tommot,58.9564,126.2925,-28.44,93,100,3.81,RU,1702347145
339,quellon,-43.1167,-73.6167,9.35,89,100,2.73,CL,1702347244
340,kayes,14.0,-11.0,23.46,16,7,2.39,ML,1702347244
341,gwadar,25.1216,62.3254,23.07,31,100,3.19,PK,1702347244
342,mermoz boabab,14.7065,-17.4758,23.88,88,5,1.03,SN,1702347245
343,totness,5.8833,-56.3167,25.19,90,94,3.62,SR,1702347245
